species	longitude	latitude
Myrmecophaga tridactyla	-51.74353355	-20.72624579
Myrmecophaga tridactyla	-49.47472561	-16.85481353
Myrmecophaga tridactyla	-45.61733847	-19.53838196
Myrmecophaga tridactyla	-55.05597754	-20.42789487
Myrmecophaga tridactyla	-45.60435504	-20.38508336
Myrmecophaga tridactyla	-51.37365784	-16.32271942
Myrmecophaga tridactyla	-51.76550956	-16.44143458
Myrmecophaga tridactyla	-47.53266412	-18.79551307
Myrmecophaga tridactyla	-56.56909992	-20.16282595
Myrmecophaga tridactyla	-49.9642312	-20.4135646
Myrmecophaga tridactyla	-45.64060877	-19.6177651
Myrmecophaga tridactyla	-49.15562846	-18.88016306
Myrmecophaga tridactyla	-56.36783335	-20.23907627
Myrmecophaga tridactyla	-55.54582677	-20.55177944
Myrmecophaga tridactyla	-55.49603532	-20.55796872
Myrmecophaga tridactyla	-50.08157259	-18.87907633
Myrmecophaga tridactyla	-51.98867886	-21.25702688
Myrmecophaga tridactyla	-51.92486561	-21.25917364
Myrmecophaga tridactyla	-45.62693402	-19.6016599
Myrmecophaga tridactyla	-52.39228627	-21.72369048
Myrmecophaga tridactyla	-52.39228627	-21.72369048
Myrmecophaga tridactyla	-50.84646834	-18.85188712
Myrmecophaga tridactyla	-50.84646834	-18.85188712
Myrmecophaga tridactyla	-52.65760395	-17.39918128
Myrmecophaga tridactyla	-51.8061973	-17.90794832
Myrmecophaga tridactyla	-53.3134933	-21.19066914
Myrmecophaga tridactyla	-52.24225117	-21.72728271
Myrmecophaga tridactyla	-45.64074185	-19.61794379
Myrmecophaga tridactyla	-54.59472442	-16.52466041
Myrmecophaga tridactyla	-53.93964155	-20.41446934
Myrmecophaga tridactyla	-49.43593506	-18.33796346
Myrmecophaga tridactyla	-49.2575163	-11.94109887
Myrmecophaga tridactyla	-51.88746636	-17.14662566
Myrmecophaga tridactyla	-48.99437414	-11.46262173
Myrmecophaga tridactyla	-49.3511688	-18.37778638
Myrmecophaga tridactyla	-54.29243981	-16.68352126
Myrmecophaga tridactyla	-55.93433106	-21.2383607
Myrmecophaga tridactyla	-50.20365386	-15.68578136
Myrmecophaga tridactyla	-50.39619208	-14.24616431
Myrmecophaga tridactyla	-50.24815915	-15.61105484
Myrmecophaga tridactyla	-50.51056341	-15.24183764
Myrmecophaga tridactyla	-50.56232739	-15.1749951
Myrmecophaga tridactyla	-51.91169621	-15.89317577
Myrmecophaga tridactyla	-48.08298537	-17.87398792
Myrmecophaga tridactyla	-48.08297817	-17.87372887
Myrmecophaga tridactyla	-48.08863402	-17.86386694
Myrmecophaga tridactyla	-48.42110812	-17.3281461
Myrmecophaga tridactyla	-51.14391576	-18.30722101
Myrmecophaga tridactyla	-49.34408458	-20.48683034
Myrmecophaga tridactyla	-49.34408458	-20.48683034
Myrmecophaga tridactyla	-51.25829777	-20.78296426
Myrmecophaga tridactyla	-54.2924075	-16.68346724
Myrmecophaga tridactyla	-50.94054546	-17.75382506
Myrmecophaga tridactyla	-56.36772718	-14.91994543
Myrmecophaga tridactyla	-56.35596176	-15.05771974
Myrmecophaga tridactyla	-51.70724108	-20.75287053
Myrmecophaga tridactyla	-52.36257065	-21.72743026
Myrmecophaga tridactyla	-54.49417429	-16.60203906
Myrmecophaga tridactyla	-49.34421833	-20.48682333
Myrmecophaga tridactyla	-49.63639954	-19.33196764
Myrmecophaga tridactyla	-49.635834	-19.332655
Myrmecophaga tridactyla	-50.11143167	-19.63176363
Myrmecophaga tridactyla	-49.95062454	-19.57278096
Myrmecophaga tridactyla	-49.85158447	-19.5567513
Myrmecophaga tridactyla	-49.16275246	-20.75726667
Myrmecophaga tridactyla	-47.72923862	-19.26336635
Myrmecophaga tridactyla	-50.49595275	-20.63751067
Myrmecophaga tridactyla	-51.6870629	-20.61783814
Myrmecophaga tridactyla	-49.94711043	-19.33139488
Myrmecophaga tridactyla	-51.91676883	-13.49934981
Myrmecophaga tridactyla	-52.23101107	-15.6925663
Myrmecophaga tridactyla	-50.43703266	-17.46989527
Myrmecophaga tridactyla	-50.53127162	-20.65923357
Myrmecophaga tridactyla	-54.27528985	-16.70961864
Myrmecophaga tridactyla	-50.17567705	-19.14607717
Myrmecophaga tridactyla	-51.33229371	-18.19726427
Myrmecophaga tridactyla	-56.61079301	-20.14642519
Myrmecophaga tridactyla	-52.30327664	-18.60792257
Myrmecophaga tridactyla	-56.59882306	-20.15119198
Myrmecophaga tridactyla	-51.07688176	-18.4862263
Myrmecophaga tridactyla	-53.0568853	-17.38677164
Myrmecophaga tridactyla	-53.66653973	-16.88992639
Myrmecophaga tridactyla	-53.37333546	-17.18779792
Myrmecophaga tridactyla	-53.1227961	-17.3781465
Myrmecophaga tridactyla	-46.13980983	-19.68853496
Myrmecophaga tridactyla	-50.48349746	-19.04746982
Myrmecophaga tridactyla	-49.62892958	-20.82597246
Myrmecophaga tridactyla	-49.40233052	-18.34574569
Myrmecophaga tridactyla	-51.93495969	-21.25874193
Myrmecophaga tridactyla	-49.21582186	-11.58323218
Myrmecophaga tridactyla	-49.2614481	-11.40950041
Myrmecophaga tridactyla	-49.30387357	-11.24357013
Myrmecophaga tridactyla	-51.77366006	-17.91019428
Myrmecophaga tridactyla	-51.01102652	-18.64325394
Myrmecophaga tridactyla	-56.36805986	-20.23932415
